,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
tweet_id,87076.0,87075.0,87074.0,87073.0,87072.0,87071.0,87070.0,87069.0,87068.0,,,,,,,,,,,
tweet_id,607297.0,607296.0,607292.0,607290.0,607291.0,607293.0,607294.0,607295.0,,,,,,,,,,,,
tweet_id,428556.0,428555.0,428557.0,739291.0,739292.0,739293.0,739295.0,739294.0,,,,,,,,,,,,
tweet_id,587942.0,587938.0,587935.0,587937.0,587936.0,587939.0,587940.0,587941.0,,,,,,,,,,,,
tweet_id,861415.0,861413.0,861412.0,861411.0,861410.0,861409.0,861414.0,861405.0,861403.0,861404.0,861406.0,861407.0,861408.0,,,,,,,
tweet_id,1044017.0,1044029.0,1044015.0,1044016.0,1044018.0,1044019.0,1044020.0,1044022.0,1044021.0,1044024.0,1044023.0,1044026.0,1044025.0,1044028.0,1044027.0,,,,,
tweet_id,1004502.0,1004501.0,1004500.0,1004495.0,1004493.0,1004494.0,1004496.0,1004497.0,1004498.0,1004499.0,,,,,,,,,,
tweet_id,411393.0,411392.0,411391.0,411390.0,411389.0,411388.0,411387.0,411386.0,411380.0,411377.0,411378.0,411379.0,411381.0,411382.0,411383.0,411384.0,411385.0,,,
tweet_id,228029.0,228028.0,228027.0,228026.0,228023.0,228022.0,228025.0,228024.0,228030.0,228031.0,,,,,,,,,,
tweet_id,281390.0,281388.0,281389.0,281391.0,281392.0,281393.0,281394.0,281395.0,,,,,,,,,,,,
tweet_id,1164485.0,1164482.0,1164484.0,1164483.0,1164480.0,1164478.0,1164479.0,1164481.0,1208911.0,1208912.0,1208914.0,1208915.0,1208913.0,,,,,,,
tweet_id,46159.0,46157.0,46158.0,46161.0,46160.0,46162.0,46163.0,46164.0,,,,,,,,,,,,
tweet_id,1429152.0,1429151.0,1429153.0,1429373.0,1429372.0,1429371.0,1429367.0,1429364.0,1429366.0,1429365.0,1429368.0,1429369.0,1429370.0,,,,,,,
tweet_id,39223.0,39221.0,39222.0,39224.0,39225.0,39226.0,39227.0,39229.0,39228.0,39230.0,,,,,,,,,,
tweet_id,1709537.0,1709536.0,1709533.0,1709529.0,1709530.0,1709531.0,1709532.0,1709534.0,1709535.0,,,,,,,,,,,
tweet_id,779247.0,779245.0,779246.0,779249.0,779248.0,779250.0,779251.0,779252.0,779253.0,779254.0,779255.0,,,,,,,,,
tweet_id,1306423.0,1306421.0,1306422.0,1306424.0,1306425.0,1306426.0,1306427.0,1306429.0,1306428.0,,,,,,,,,,,
tweet_id,2613577.0,2613578.0,2613576.0,2613579.0,2613580.0,2613581.0,2613584.0,2613583.0,2613582.0,2613587.0,2613586.0,2613585.0,2613589.0,2613588.0,2613590.0,,,,,
tweet_id,552335.0,552332.0,552334.0,552333.0,552336.0,552338.0,552337.0,552339.0,,,,,,,,,,,,
tweet_id,2904110.0,2904108.0,2904109.0,2904111.0,2904112.0,2937607.0,2937608.0,2937609.0,2937610.0,2937611.0,2937612.0,,,,,,,,,
tweet_id,863883.0,863880.0,863882.0,863881.0,863884.0,863885.0,863886.0,863888.0,863887.0,863889.0,,,,,,,,,,
tweet_id,1208990.0,1208991.0,1208989.0,1208992.0,1208993.0,1208994.0,1208995.0,1208996.0,,,,,,,,,,,,
tweet_id,1352552.0,1352550.0,1352551.0,1352553.0,1352554.0,1352555.0,1352556.0,1352557.0,,,,,,,,,,,,
tweet_id,1464374.0,1464372.0,1464370.0,1464365.0,1464368.0,1464369.0,1464366.0,1464367.0,1464371.0,,,,,,,,,,,
tweet_id,1441710.0,1441702.0,1441700.0,1441701.0,1441703.0,1441706.0,1441704.0,1441705.0,1441707.0,1441708.0,1441709.0,,,,,,,,,
tweet_id,1453649.0,1453655.0,1453650.0,1453652.0,1453653.0,1453654.0,1453651.0,1453648.0,1453647.0,1453644.0,1453643.0,1453646.0,1453645.0,,,,,,,
tweet_id,1519523.0,1519521.0,1519522.0,1519524.0,1519525.0,1519526.0,1519527.0,1519529.0,1519528.0,1519530.0,1519531.0,,,,,,,,,
tweet_id,428164.0,428155.0,428163.0,428153.0,428154.0,428156.0,428157.0,428159.0,428158.0,428160.0,428161.0,428162.0,,,,,,,,
tweet_id,644551.0,644550.0,644549.0,644548.0,644545.0,644547.0,644543.0,644544.0,644546.0,,,,,,,,,,,
tweet_id,468096.0,468095.0,468094.0,468092.0,468093.0,468090.0,468088.0,468089.0,468087.0,468085.0,468086.0,468084.0,468083.0,468091.0,476011.0,476010.0,476012.0,,,
